Feature Extractor,Model,Accuracy,Micro Avg Precision,Micro Avg Recall,Micro Avg F1 Score,Macro Avg Precision,Macro Avg Recall,Macro Avg F1 Score
BoW based on raw counts Trigram,Perceptron,0.6928020565552699,0.6866208321818223,0.6928020565552699,0.6891434750799729,0.5069620520622041,0.490272043654293,0.497230585305027
BoW based on TfIDF Unigram,Naive Bayes,0.7377892030848329,0.7397751642738789,0.7377892030848329,0.6995047286190986,0.5844963144963146,0.4129831715568177,0.41311821472616345
BoW based on TfIDF Unigram,Logistic Regression,0.7403598971722365,0.7272728220536651,0.7403598971722365,0.7115719731822324,0.5410519244552858,0.43192038325904025,0.443830352241245
BoW based on TfIDF Unigram,Random Forest,0.7313624678663239,0.7189660927442658,0.7313624678663239,0.703161988912931,0.517646839594514,0.42734411067531025,0.44191015101173414
BoW based on TfIDF Unigram,Support Vector Machine,0.7429305912596401,0.7438917719796087,0.7429305912596401,0.7109649694246645,0.5766147941018115,0.42770805934133294,0.44061167267500767
BoW based on TfIDF Unigram,Perceptron,0.718508997429306,0.714299718022047,0.718508997429306,0.7115090426787467,0.5271304454116116,0.4825195994740547,0.49865237413710356
BoW based on TfIDF Bigram,Naive Bayes,0.7223650385604113,0.7401236219525769,0.7223650385604113,0.6802670867346295,0.5894157002396049,0.39690238707650055,0.40026019300325083
BoW based on TfIDF Bigram,Logistic Regression,0.7377892030848329,0.7321894765642781,0.7377892030848329,0.7077954934115632,0.5668881680117636,0.42900018621757197,0.4395419162861023
BoW based on TfIDF Bigram,Random Forest,0.7172236503856041,0.7036977380661181,0.7172236503856041,0.6898722998867232,0.5070961653546932,0.4215822771305424,0.4364326051396819
BoW based on TfIDF Bigram,Support Vector Machine,0.7339331619537275,0.731694308561051,0.7339331619537275,0.700079421217053,0.5611506952349976,0.4175753259777393,0.4262392028574863
BoW based on TfIDF Bigram,Perceptron,0.7223650385604113,0.7131089774790853,0.7223650385604113,0.7148735998327586,0.5235794126397212,0.49270729910212696,0.5022296586629345
BoW based on TfIDF Trigram,Naive Bayes,0.712082262210797,0.7566023080425396,0.712082262210797,0.6669712175787065,0.6342518266954822,0.38751234176355803,0.39188074772858006
BoW based on TfIDF Trigram,Logistic Regression,0.7377892030848329,0.7310513952348977,0.7377892030848329,0.7063839772235462,0.5626168955787043,0.42579678328542114,0.43448275862068964
BoW based on TfIDF Trigram,Random Forest,0.7249357326478149,0.7199504599607108,0.7249357326478149,0.6961740419718709,0.5395756478571754,0.42369783483277274,0.44029032392807316
BoW based on TfIDF Trigram,Support Vector Machine,0.7262210796915167,0.7241071170581717,0.7262210796915167,0.6905092795079397,0.5518985759035511,0.40905296241120714,0.41592995421465406
BoW based on TfIDF Trigram,Perceptron,0.7352185089974294,0.7247332767912128,0.7352185089974294,0.7260036477877676,0.5521452928997687,0.4972455783771556,0.5168884518328567
